"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Document 16, Print Document owned by paulo.victor on PC0401 was printed on IMP-ADMINISTRACAO through port 192.168.0.252.  Size in bytes: 9739. Pages printed: 1. No user action is required.","307","0",,"4","26","11","4611686018427390016","1350","Microsoft-Windows-PrintService","747ef6fd-e535-4d16-b510-42c90f6873a1","Microsoft-Windows-PrintService/Operational","2204","3676","PC0103.cabana.intra","S-1-5-21-1522681548-320186610-577835610-1103","02/08/2024 19:24:28",,,"Microsoft-Windows-PrintService/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Spooler Operation Succeeded","Printing a document","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Document 15, Print Document owned by estagiarios.cabana on PC0403 was printed on IMP-ADMINISTRACAO through port 192.168.0.252.  Size in bytes: 202265. Pages printed: 1. No user action is required.","307","0",,"4","26","11","4611686018427390016","1345","Microsoft-Windows-PrintService","747ef6fd-e535-4d16-b510-42c90f6873a1","Microsoft-Windows-PrintService/Operational","2204","5516","PC0103.cabana.intra","S-1-5-21-1522681548-320186610-577835610-1123","02/08/2024 19:23:15",,,"Microsoft-Windows-PrintService/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Spooler Operation Succeeded","Printing a document","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Document 14, Print Document owned by estagiarios.cabana on PC0403 was printed on IMP-ADMINISTRACAO through port 192.168.0.252.  Size in bytes: 433530. Pages printed: 1. No user action is required.","307","0",,"4","26","11","4611686018427390016","1340","Microsoft-Windows-PrintService","747ef6fd-e535-4d16-b510-42c90f6873a1","Microsoft-Windows-PrintService/Operational","2204","1616","PC0103.cabana.intra","S-1-5-21-1522681548-320186610-577835610-1123","02/08/2024 19:22:59",,,"Microsoft-Windows-PrintService/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Spooler Operation Succeeded","Printing a document","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Document 13, Print Document owned by estagiarios.cabana on PC0403 was printed on IMP-ADMINISTRACAO through port 192.168.0.252.  Size in bytes: 292967. Pages printed: 1. No user action is required.","307","0",,"4","26","11","4611686018427390016","1335","Microsoft-Windows-PrintService","747ef6fd-e535-4d16-b510-42c90f6873a1","Microsoft-Windows-PrintService/Operational","2204","3756","PC0103.cabana.intra","S-1-5-21-1522681548-320186610-577835610-1123","02/08/2024 19:22:23",,,"Microsoft-Windows-PrintService/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Spooler Operation Succeeded","Printing a document","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Document 12, Print Document owned by estagiarios.cabana on PC0403 was printed on IMP-ADMINISTRACAO through port 192.168.0.252.  Size in bytes: 484714. Pages printed: 1. No user action is required.","307","0",,"4","26","11","4611686018427390016","1330","Microsoft-Windows-PrintService","747ef6fd-e535-4d16-b510-42c90f6873a1","Microsoft-Windows-PrintService/Operational","2204","4076","PC0103.cabana.intra","S-1-5-21-1522681548-320186610-577835610-1123","02/08/2024 19:20:11",,,"Microsoft-Windows-PrintService/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Spooler Operation Succeeded","Printing a document","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Document 11, Print Document owned by estagiarios.cabana on PC0403 was printed on IMP FISCAL-RECEPCAO through port 192.168.0.243.  Size in bytes: 1035. Pages printed: 1. No user action is required.","307","0",,"4","26","11","4611686018427390016","1325","Microsoft-Windows-PrintService","747ef6fd-e535-4d16-b510-42c90f6873a1","Microsoft-Windows-PrintService/Operational","2204","5372","PC0103.cabana.intra","S-1-5-21-1522681548-320186610-577835610-1123","02/08/2024 19:17:04",,,"Microsoft-Windows-PrintService/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Spooler Operation Succeeded","Printing a document","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Document 10, Print Document owned by estagiarios.cabana on PC0403 was printed on IMP FISCAL-RECEPCAO through port 192.168.0.243.  Size in bytes: 1234. Pages printed: 1. No user action is required.","307","0",,"4","26","11","4611686018427390016","1320","Microsoft-Windows-PrintService","747ef6fd-e535-4d16-b510-42c90f6873a1","Microsoft-Windows-PrintService/Operational","2204","1708","PC0103.cabana.intra","S-1-5-21-1522681548-320186610-577835610-1123","02/08/2024 19:16:03",,,"Microsoft-Windows-PrintService/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Spooler Operation Succeeded","Printing a document","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Document 9, Print Document owned by estagiarios.cabana on PC0403 was printed on IMP FISCAL-RECEPCAO through port 192.168.0.243.  Size in bytes: 1039. Pages printed: 1. No user action is required.","307","0",,"4","26","11","4611686018427390016","1315","Microsoft-Windows-PrintService","747ef6fd-e535-4d16-b510-42c90f6873a1","Microsoft-Windows-PrintService/Operational","2204","1280","PC0103.cabana.intra","S-1-5-21-1522681548-320186610-577835610-1123","02/08/2024 19:14:10",,,"Microsoft-Windows-PrintService/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Spooler Operation Succeeded","Printing a document","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Document 8, Print Document owned by estagiarios.cabana on PC0403 was printed on IMP FISCAL-RECEPCAO through port 192.168.0.243.  Size in bytes: 1321. Pages printed: 1. No user action is required.","307","0",,"4","26","11","4611686018427390016","1310","Microsoft-Windows-PrintService","747ef6fd-e535-4d16-b510-42c90f6873a1","Microsoft-Windows-PrintService/Operational","2204","4408","PC0103.cabana.intra","S-1-5-21-1522681548-320186610-577835610-1123","02/08/2024 19:11:24",,,"Microsoft-Windows-PrintService/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Spooler Operation Succeeded","Printing a document","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Document 7, Print Document owned by pamylla.oliveira on PC0402 was printed on IMP-ADMINISTRACAO (L375) through port EP0BA1D5:L375 SERIES.  Size in bytes: 387465. Pages printed: 1. No user action is required.","307","0",,"4","26","11","4611686018427390016","1305","Microsoft-Windows-PrintService","747ef6fd-e535-4d16-b510-42c90f6873a1","Microsoft-Windows-PrintService/Operational","2204","4304","PC0103.cabana.intra","S-1-5-21-1522681548-320186610-577835610-1135","02/08/2024 18:43:09",,,"Microsoft-Windows-PrintService/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Spooler Operation Succeeded","Printing a document","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
