Usuario,Maquina do Usuario,Impressora,Status,Data e Hora
paulo.victor,PC0401,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 19:24:28
estagiarios.cabana,PC0403,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 19:23:15
estagiarios.cabana,PC0403,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 19:22:59
estagiarios.cabana,PC0403,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 19:22:23
estagiarios.cabana,PC0403,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 19:20:11
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 19:17:04
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 19:16:03
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 19:14:10
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 19:11:24
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 18:43:09
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 18:42:43
pamylla.oliveira,PC0402,IMP-ADMINISTRACAO (L375),Spooler Operation Succeeded,02/08/2024 18:42:16
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 18:23:20
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 18:20:52
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 18:20:51
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 18:16:56
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,04/08/2024 18:03:17
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,03/08/2024 18:02:05
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 18:01:24
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:50:57
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:44:12
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:42:30
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:40:07
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:27:24
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:25:06
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:15:32
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:12:29
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:12:29
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:03:53
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:02:29
sabrina.smoginski,PC0201,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 17:02:14
sabrina.smoginski,PC0201,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 17:01:59
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:01:53
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:01:40
sabrina.smoginski,PC0201,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 17:01:24
sabrina.smoginski,PC0201,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 17:01:12
sabrina.smoginski,PC0201,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 17:00:56
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 17:00:28
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:53:17
pamylla.oliveira,PC0402,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:53:17
estagiarios.cabana,PC0403,IMP FISCAL-RECEPCAO,Spooler Operation Succeeded,02/08/2024 16:46:20
